owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,gross_outlay_amount,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,12.2,Military personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",36706.65,-1532.68,40229.44,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,12.1,Civilian personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",179117.52,-4741.73,92755.40,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,12.2,Military personnel benefits,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",407.17,-587.72,1423.14,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.1,Full-time permanent,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",3285.58,-18459.04,62198.49,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.5,Other personnel compensation,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",8881.52,0.00,8881.52,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.7,Military personnel,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",1647.19,-1647.19,17177.17,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.7,Military personnel,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",506508.63,0.00,594325.17,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.1,Full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",191824.00,-2079052.57,187107.92,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.5,Other personnel compensation,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",15227.65,-1900.01,20192.87,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.3,Other than full-time permanent,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",106436.20,-2946.24,101416.71,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,11.3,Other than full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",162417.06,-7354.12,147351.36,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,23.1,Rental payments to GSA,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,0.00,22453.02,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.5,Research and development contracts,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",987983.00,-9114520.00,7660357.35,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.3,Other goods and services from Federal sources,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",855632.69,0.00,3559613.49,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.6,Medical care,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",319.30,0.00,286567.79,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",247369029.24,-99102000.00,2174780884.77,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.4,Operation and maintenance of facilities,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",192191.95,0.00,4169.26,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0140,000,075-2020/2024-0140-000,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0140,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",0001,PUBLIC HEALTH AND SOCIAL SERVICES EMERGENCY FUND,25.4,Operation and maintenance of facilities,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",3082.12,0.00,11176.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0390,000,075-2020/2021-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,11.5,Other personnel compensation,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",964405.95,0.00,1002343.14,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0390,000,075-2020/2021-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,11.3,Other than full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1687704.21,0.00,1731157.89,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2021,,0390,000,075-2020/2021-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1350793.80,-18108.80,1786867.00,2021-01-28
